,Non- alcoholic,Stout,Lager
0,Maltina,Legend,33 Export
1,Amstel Malta,Turbo King,Desperados
2,Malta Gold,Williams,Goldberg
3,Fayrouz, ,Gulder
4, , ,Heineken
5, , ,star
